,Rank,Team,Rating,v 1-5,v 6-10,v 11-16,Hi,Low,Last,Year
152,25,Las Vegas (6-10),18.6,0-2,0-1,1-2,3,29,25,2018
153,26,NY Giants (3-13),18.4,0-2,0-4,0-4,8,31,27,2018
154,27,Miami (6-10),17.6,2-2,0-1,2-0,7,27,26,2018
155,28,NY Jets (5-11),16.4,0-4,1-1,0-1,13,31,28,2018
156,29,Denver (5-11),14.6,0-2,1-0,1-1,5,31,29,2018
157,30,Indianapolis (4-12),11.8,0-0,1-3,0-5,12,31,30,2018
158,31,Houston (4-12),9.7,0-1,0-4,2-3,11,31,31,2018
159,32,Cleveland (0-16),3.9,0-1,0-1,0-5,26,32,32,2018
160,1,New England (17-2),46.6,3-0,1-0,5-1,1,16,1,2017
161,2,Atlanta (13-6),36.2,2-2,2-0,2-2,2,29,2,2017
162,3,Pittsburgh (13-6),36.1,2-2,1-1,3-2,2,21,3,2017
163,4,Green Bay (12-7),33.0,0-2,3-2,2-1,2,27,4,2017
164,5,Kansas City (12-5),32.4,1-2,4-1,1-2,1,19,5,2017
165,6,Dallas (13-4),29.2,2-1,0-2,2-0,1,32,6,2017
166,7,Las Vegas (12-5),28.6,0-3,2-1,4-1,2,26,8,2017
167,8,NY Giants (11-6),28.5,0-3,2-0,1-0,6,26,7,2017
168,9,Denver (9-7),28.4,0-4,1-2,3-0,1,19,9,2017
169,10,Tennessee (9-7),27.6,2-0,1-1,2-3,7,32,10,2017
170,11,Houston (10-8),27.3,1-3,2-3,2-0,5,25,12,2017
171,12,Tampa Bay (9-7),27.2,2-1,0-3,1-0,4,29,11,2017
172,13,Miami (10-7),27.1,1-3,0-1,0-2,8,31,15,2017
173,14,Indianapolis (8-8),27.0,1-2,2-2,0-2,10,32,14,2017
174,15,Seattle (11-6-1),26.8,2-2,0-0,1-1,3,19,13,2017
175,16,Baltimore (8-8),26.0,1-2,0-3,1-0,7,27,16,2017
176,17,Philadelphia (7-9),25.3,2-1,2-2,0-2,1,26,18,2017
177,18,Cincinnati (6-9-1),25.3,0-3,0-3,2-2,4,25,19,2017
178,19,New Orleans (7-9),25.2,0-3,0-3,2-1,8,31,17,2017
179,20,Washington (8-7-1),24.0,1-1,1-3,1-0,5,29,20,2017
180,21,Arizona (7-8-1),24.0,0-2,0-0,2-1-1,5,28,21,2017
181,22,Carolina (6-10),23.6,0-3,0-2,0-3,2,30,22,2017
182,23,Detroit (9-8),21.9,0-2,0-3,1-2,8,28,23,2017
183,24,Minnesota (8-8),21.1,1-1,2-1,1-1,1,25,24,2017
184,25,Buffalo (7-9),19.5,1-2,0-1,0-4,3,28,25,2017
185,26,NY Jets (5-11),18.2,0-4,0-0,1-4,11,30,26,2017
186,27,LA Chargers (5-11),17.7,1-2,2-3,1-3,7,31,27,2017
187,28,Jacksonville (3-13),17.3,0-2,1-3,1-4,25,32,28,2017
188,29,Cleveland (1-15),12.1,0-3,0-3,0-3,28,32,29,2017
189,30,Chicago (3-13),11.5,0-2,0-3,0-3,18,30,30,2017
190,31,San Francisco (2-14),9.2,0-2,0-1,0-4,12,32,31,2017
191,32,LA Rams (4-12),7.2,0-2,0-1,2-2,8,32,32,2017
192,1,Denver (15-4),38.4,2-1,5-1,3-1,1,10,5,2016
193,2,Carolina (17-2),36.4,3-1,1-0,2-0,1,18,1,2016
194,3,Seattle (11-7),35.7,1-3,4-2,0-2,1,18,2,2016
195,4,Kansas City (12-6),35.0,1-1,2-3,4-1,1,29,4,2016
196,5,Arizona (14-4),34.9,1-2,5-1,1-1,1,17,3,2016
197,6,Pittsburgh (11-7),33.8,2-3,2-1,2-1,3,15,7,2016
198,7,Minnesota (11-6),32.7,1-4,3-1,2-0,3,24,6,2016
199,8,Cincinnati (12-5),30.9,2-2,1-2,2-1,1,13,9,2016
200,9,Green Bay (11-7),30.3,2-4,2-2,3-0,2,14,8,2016
201,10,Detroit (7-9),29.3,0-4,1-3,1-1,10,32,10,2016
202,11,New England (13-5),28.6,1-2,1-0,3-1,1,18,11,2016
203,12,Las Vegas (7-9),25.7,1-3,0-5,1-0,9,26,15,2016
204,13,NY Jets (10-6),25.4,0-0,0-0,2-3,3,21,14,2016
205,14,LA Rams (7-9),25.3,3-1,1-4,0-1,8,27,12,2016
206,15,Washington (9-8),25.0,0-1,0-1,1-2,11,31,13,2016
207,16,Houston (9-8),24.9,0-3,1-0,1-1,10,29,16,2016
208,17,Buffalo (8-8),24.2,0-1,0-1,3-3,2,27,17,2016
209,18,Chicago (6-10),23.1,1-3,1-5,2-1,9,32,18,2016
210,19,New Orleans (7-9),22.0,0-3,0-1,0-2,12,32,19,2016
211,20,Baltimore (5-11),21.6,0-4,2-2,1-1,8,30,22,2016
212,21,Philadelphia (7-9),21.5,0-2,0-1,2-2,9,29,20,2016
213,22,Indianapolis (8-8),21.0,1-1,0-1,1-3,4,25,24,2016
214,23,San Francisco (5-11),20.9,0-4,1-4,1-1,15,29,23,2016
215,24,Atlanta (8-8),20.1,1-1,0-1,2-0,2,31,21,2016
216,25,LA Chargers (4-12),20.0,0-4,1-4,0-2,6,32,25,2016
217,26,NY Giants (6-10),18.0,0-1,0-1,1-3,6,27,26,2016
218,27,Miami (6-10),17.6,0-0,0-0,3-3,12,31,28,2016
219,28,Tampa Bay (6-10),16.6,0-2,0-0,0-3,15,32,27,2016
220,29,Cleveland (3-13),16.6,0-4,0-4,0-3,19,32,29,2016
221,30,Dallas (4-12),15.1,0-2,0-1,1-3,5,32,30,2016
222,31,Jacksonville (5-11),14.0,0-1,0-0,0-4,18,32,31,2016
223,32,Tennessee (3-13),10.3,0-1,0-0,0-5,27,32,32,2016
224,1,New England (15-4),41.3,3-1,3-2,3-0,1,24,2,2015
225,2,Seattle (14-5),37.3,2-2,1-1,3-1,1,15,1,2015
226,3,Green Bay (13-5),34.8,2-2,0-1,3-1,2,23,3,2015
227,4,Indianapolis (13-6),33.7,0-3,2-2,4-1,3,23,4,2015
